index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
9217,breast-high,0,b r e a s t - h i g h,0 1 2 3 4 5 7 8 9 10,"""b r e a s t - h i g h""","""-""","Simple edit score, Progressive alignment",9217,breast-high,0,b r e a s t - h i g h,0 1 2 3 4 5 7 8 9 10,"""b r e a s t - h i g h""","""-""","Simple edit score, Progressive alignment with LCS"
39132,lair,0,l a i r,0 1 2 3,"""l a i r -""","""-""","Simple edit score, Progressive alignment",39132,lair,0,l a i r,0 1 2 3,"""l a i r -""","""-""","Simple edit score, Progressive alignment with LCS"
39133,lair,1,l a i r s,0 1 2 3 4,"""l a i r -""","""- s""","Simple edit score, Progressive alignment",39133,lair,1,l a i r s,0 1 2 3 4,"""l a i r -""","""- s""","Simple edit score, Progressive alignment with LCS"
48953,other,0,a n o t h e r,0 1 2 3 4 5 6,"""- o t h e r -""","""a n -""","Simple edit score, Progressive alignment",48953,other,0,a n o t h e r,0 1 2 3 4 5 6,"""- o t h e r -""","""a n -""","Simple edit score, Progressive alignment with LCS"
48954,other,1,o t h e r,2 3 4 5 6,"""- o t h e r -""","""-""","Simple edit score, Progressive alignment",48954,other,1,o t h e r,2 3 4 5 6,"""- o t h e r -""","""-""","Simple edit score, Progressive alignment with LCS"
48955,other,2,o t h e r s,2 3 4 5 6 15,"""- o t h e r -""","""- s""","Simple edit score, Progressive alignment",48955,other,2,o t h e r s,2 3 4 5 6 15,"""- o t h e r -""","""- s""","Simple edit score, Progressive alignment with LCS"
48956,other,3,o t h e r w i s e,2 3 4 5 6 7 14 15 16,"""- o t h e r -""","""- w i s e""","Simple edit score, Progressive alignment",48956,other,3,o t h e r w i s e,2 3 4 5 6 7 14 15 16,"""- o t h e r -""","""- w i s e""","Simple edit score, Progressive alignment with LCS"
48957,other,4,o t h e r w o r l d l y,2 3 4 5 6 7 8 9 10 11 12 13,"""- o t h e r -""","""- w o r l d l y""","Simple edit score, Progressive alignment",48957,other,4,o t h e r w o r l d l y,2 3 4 5 6 7 8 9 10 11 12 13,"""- o t h e r -""","""- w o r l d l y""","Simple edit score, Progressive alignment with LCS"
42378,lunatic fringe,0,l u n a t i c _ f r i n g e,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""l u n a t i c _ f r i n g e -""","""-""","Simple edit score, Progressive alignment",42378,lunatic fringe,0,l u n a t i c _ f r i n g e,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""l u n a t i c _ f r i n g e -""","""-""","Simple edit score, Progressive alignment with LCS"
42379,lunatic fringe,1,l u n a t i c _ f r i n g e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""l u n a t i c _ f r i n g e -""","""- s""","Simple edit score, Progressive alignment",42379,lunatic fringe,1,l u n a t i c _ f r i n g e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""l u n a t i c _ f r i n g e -""","""- s""","Simple edit score, Progressive alignment with LCS"
45795,motoring,0,m o t o r i n g,0 1 2 3 4 5 6 7,"""m o t o r i n g""","""-""","Simple edit score, Progressive alignment",45795,motoring,0,m o t o r i n g,0 1 2 3 4 5 6 7,"""m o t o r i n g""","""-""","Simple edit score, Progressive alignment with LCS"
21378,disrelish,0,d i s r e l i s h,0 1 2 3 4 5 6 7 8,"""d i s r e l i s h -""","""-""","Simple edit score, Progressive alignment",21378,disrelish,0,d i s r e l i s h,0 1 2 3 4 5 6 7 8,"""d i s r e l i s h -""","""-""","Simple edit score, Progressive alignment with LCS"
21379,disrelish,1,d i s r e l i s h e d,0 1 2 3 4 5 6 7 8 12 14,"""d i s r e l i s h -""","""- e d""","Simple edit score, Progressive alignment",21379,disrelish,1,d i s r e l i s h e d,0 1 2 3 4 5 6 7 8 12 14,"""d i s r e l i s h -""","""- e d""","Simple edit score, Progressive alignment with LCS"
21380,disrelish,2,d i s r e l i s h e s,0 1 2 3 4 5 6 7 8 12 13,"""d i s r e l i s h -""","""- e s""","Simple edit score, Progressive alignment",21380,disrelish,2,d i s r e l i s h e s,0 1 2 3 4 5 6 7 8 12 13,"""d i s r e l i s h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
21381,disrelish,3,d i s r e l i s h i n g,0 1 2 3 4 5 6 7 8 9 10 11,"""d i s r e l i s h -""","""- i n g""","Simple edit score, Progressive alignment",21381,disrelish,3,d i s r e l i s h i n g,0 1 2 3 4 5 6 7 8 9 10 11,"""d i s r e l i s h -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
60068,rise,0,a r i s e,7 8 10 11 12,"""- r - s -""","""a - i - e""","Simple edit score, Progressive alignment",60068,rise,0,a r i s e,7 8 10 11 12,"""- r - s -""","""a - i - e""","Simple edit score, Progressive alignment with LCS"
60069,rise,1,a r i s e n,7 8 10 11 12 16,"""- r - s -""","""a - i - e n""","Simple edit score, Progressive alignment",60069,rise,1,a r i s e n,7 8 10 11 12 16,"""- r - s -""","""a - i - e n""","Simple edit score, Progressive alignment with LCS"
60070,rise,2,a r i s e s,7 8 10 11 12 15,"""- r - s -""","""a - i - e s""","Simple edit score, Progressive alignment",60070,rise,2,a r i s e s,7 8 10 11 12 15,"""- r - s -""","""a - i - e s""","Simple edit score, Progressive alignment with LCS"
60071,rise,3,a r i s i n g,7 8 10 11 13 16 17,"""- r - s -""","""a - i - i n g""","Simple edit score, Progressive alignment",60071,rise,3,a r i s i n g,7 8 10 11 13 16 17,"""- r - s -""","""a - i - i n g""","Simple edit score, Progressive alignment with LCS"
60072,rise,4,a r o s e,7 8 9 11 12,"""- r - s -""","""a - o - e""","Simple edit score, Progressive alignment",60072,rise,4,a r o s e,7 8 9 11 12,"""- r - s -""","""a - o - e""","Simple edit score, Progressive alignment with LCS"
60073,rise,5,h i g h - r i s e,0 1 2 3 8 10 11 12,"""- r - s -""","""h i g h - i - e""","Simple edit score, Progressive alignment",60073,rise,5,h i g h - r i s e,0 1 2 3 8 10 11 12,"""- r - s -""","""h i g h - i - e""","Simple edit score, Progressive alignment with LCS"
60074,rise,6,r i s e,8 10 11 12,"""- r - s -""","""- i - e""","Simple edit score, Progressive alignment",60074,rise,6,r i s e,8 10 11 12,"""- r - s -""","""- i - e""","Simple edit score, Progressive alignment with LCS"
60075,rise,7,r i s e n,8 10 11 12 16,"""- r - s -""","""- i - e n""","Simple edit score, Progressive alignment",60075,rise,7,r i s e n,8 10 11 12 16,"""- r - s -""","""- i - e n""","Simple edit score, Progressive alignment with LCS"
60076,rise,8,r i s e r,8 10 11 12 14,"""- r - s -""","""- i - e r""","Simple edit score, Progressive alignment",60076,rise,8,r i s e r,8 10 11 12 14,"""- r - s -""","""- i - e r""","Simple edit score, Progressive alignment with LCS"
60077,rise,9,r i s e r s,8 10 11 12 14 15,"""- r - s -""","""- i - e r s""","Simple edit score, Progressive alignment",60077,rise,9,r i s e r s,8 10 11 12 14 15,"""- r - s -""","""- i - e r s""","Simple edit score, Progressive alignment with LCS"
60078,rise,10,r i s e s,8 10 11 12 15,"""- r - s -""","""- i - e s""","Simple edit score, Progressive alignment",60078,rise,10,r i s e s,8 10 11 12 15,"""- r - s -""","""- i - e s""","Simple edit score, Progressive alignment with LCS"
60079,rise,11,r i s i n g,8 10 11 13 16 17,"""- r - s -""","""- i - i n g""","Simple edit score, Progressive alignment",60079,rise,11,r i s i n g,8 10 11 13 16 17,"""- r - s -""","""- i - i n g""","Simple edit score, Progressive alignment with LCS"
60080,rise,12,r o s e,8 9 11 12,"""- r - s -""","""- o - e""","Simple edit score, Progressive alignment",60080,rise,12,r o s e,8 9 11 12,"""- r - s -""","""- o - e""","Simple edit score, Progressive alignment with LCS"
