index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
48518,once,0,o n c e,0 1 2 3,"""o n c e -""","""-""","Simple edit score, Progressive alignment",48518,once,0,o n c e,0 1 2 3,"""o n c e -""","""-""","Simple edit score, Progressive alignment with LCS"
48519,once,1,o n c e - o v e r,0 1 2 3 4 5 6 7,"""o n c e -""","""- o v e r""","Simple edit score, Progressive alignment",48519,once,1,o n c e - o v e r,0 1 2 3 4 5 6 7,"""o n c e -""","""- o v e r""","Simple edit score, Progressive alignment with LCS"
48520,once,2,o n c e - o v e r s,0 1 2 3 4 5 6 7 8,"""o n c e -""","""- o v e r s""","Simple edit score, Progressive alignment",48520,once,2,o n c e - o v e r s,0 1 2 3 4 5 6 7 8,"""o n c e -""","""- o v e r s""","Simple edit score, Progressive alignment with LCS"
82177,wrestle,0,w r e s t l e,0 1 2 3 4 5 9,"""w r e s t l -""","""- e""","Simple edit score, Progressive alignment",82177,wrestle,0,w r e s t l e,0 1 2 3 4 5 9,"""w r e s t l -""","""- e""","Simple edit score, Progressive alignment with LCS"
82178,wrestle,1,w r e s t l e d,0 1 2 3 4 5 9 12,"""w r e s t l -""","""- e d""","Simple edit score, Progressive alignment",82178,wrestle,1,w r e s t l e d,0 1 2 3 4 5 9 12,"""w r e s t l -""","""- e d""","Simple edit score, Progressive alignment with LCS"
82179,wrestle,2,w r e s t l e r,0 1 2 3 4 5 9 10,"""w r e s t l -""","""- e r""","Simple edit score, Progressive alignment",82179,wrestle,2,w r e s t l e r,0 1 2 3 4 5 9 10,"""w r e s t l -""","""- e r""","Simple edit score, Progressive alignment with LCS"
82180,wrestle,3,w r e s t l e r s,0 1 2 3 4 5 9 10 11,"""w r e s t l -""","""- e r s""","Simple edit score, Progressive alignment",82180,wrestle,3,w r e s t l e r s,0 1 2 3 4 5 9 10 11,"""w r e s t l -""","""- e r s""","Simple edit score, Progressive alignment with LCS"
82181,wrestle,4,w r e s t l e s,0 1 2 3 4 5 9 11,"""w r e s t l -""","""- e s""","Simple edit score, Progressive alignment",82181,wrestle,4,w r e s t l e s,0 1 2 3 4 5 9 11,"""w r e s t l -""","""- e s""","Simple edit score, Progressive alignment with LCS"
82182,wrestle,5,w r e s t l i n g,0 1 2 3 4 5 6 7 8,"""w r e s t l -""","""- i n g""","Simple edit score, Progressive alignment",82182,wrestle,5,w r e s t l i n g,0 1 2 3 4 5 6 7 8,"""w r e s t l -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
17873,cower,0,c o w e r,0 1 2 3 4,"""c o w e r -""","""-""","Simple edit score, Progressive alignment",17873,cower,0,c o w e r,0 1 2 3 4,"""c o w e r -""","""-""","Simple edit score, Progressive alignment with LCS"
17874,cower,1,c o w e r e d,0 1 2 3 4 8 9,"""c o w e r -""","""- e d""","Simple edit score, Progressive alignment",17874,cower,1,c o w e r e d,0 1 2 3 4 8 9,"""c o w e r -""","""- e d""","Simple edit score, Progressive alignment with LCS"
17875,cower,2,c o w e r i n g,0 1 2 3 4 5 6 7,"""c o w e r -""","""- i n g""","Simple edit score, Progressive alignment",17875,cower,2,c o w e r i n g,0 1 2 3 4 5 6 7,"""c o w e r -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
17876,cower,3,c o w e r s,0 1 2 3 4 10,"""c o w e r -""","""- s""","Simple edit score, Progressive alignment",17876,cower,3,c o w e r s,0 1 2 3 4 10,"""c o w e r -""","""- s""","Simple edit score, Progressive alignment with LCS"
30125,gat,0,g a t,0 1 2,"""g a t -""","""-""","Simple edit score, Progressive alignment",30125,gat,0,g a t,0 1 2,"""g a t -""","""-""","Simple edit score, Progressive alignment with LCS"
30126,gat,1,g a t s,0 1 2 3,"""g a t -""","""- s""","Simple edit score, Progressive alignment",30126,gat,1,g a t s,0 1 2 3,"""g a t -""","""- s""","Simple edit score, Progressive alignment with LCS"
76057,torpedo,0,t o r p e d o,0 1 2 3 4 5 6,"""t o r p e d o -""","""-""","Simple edit score, Progressive alignment",76057,torpedo,0,t o r p e d o,0 1 2 3 4 5 6,"""t o r p e d o -""","""-""","Simple edit score, Progressive alignment with LCS"
76058,torpedo,1,t o r p e d o - b o a t,0 1 2 3 4 5 6 8 9 10 11,"""t o r p e d o -""","""- b o a t""","Simple edit score, Progressive alignment",76058,torpedo,1,t o r p e d o - b o a t,0 1 2 3 4 5 6 8 9 10 11,"""t o r p e d o -""","""- b o a t""","Simple edit score, Progressive alignment with LCS"
76059,torpedo,2,t o r p e d o - b o a t s,0 1 2 3 4 5 6 8 9 10 11 18,"""t o r p e d o -""","""- b o a t s""","Simple edit score, Progressive alignment",76059,torpedo,2,t o r p e d o - b o a t s,0 1 2 3 4 5 6 8 9 10 11 18,"""t o r p e d o -""","""- b o a t s""","Simple edit score, Progressive alignment with LCS"
76060,torpedo,3,t o r p e d o - t u b e,0 1 2 3 4 5 6 11 12 13 16,"""t o r p e d o -""","""- t u b e""","Simple edit score, Progressive alignment",76060,torpedo,3,t o r p e d o - t u b e,0 1 2 3 4 5 6 11 12 13 16,"""t o r p e d o -""","""- t u b e""","Simple edit score, Progressive alignment with LCS"
76061,torpedo,4,t o r p e d o - t u b e s,0 1 2 3 4 5 6 11 12 13 16 18,"""t o r p e d o -""","""- t u b e s""","Simple edit score, Progressive alignment",76061,torpedo,4,t o r p e d o - t u b e s,0 1 2 3 4 5 6 11 12 13 16 18,"""t o r p e d o -""","""- t u b e s""","Simple edit score, Progressive alignment with LCS"
