index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
64017,sex,0,a s e x u a l,9 11 13 14 17 18 21,"""- s - e x -""","""a - u a l""","Simple edit score, Progressive alignment",64017,sex,0,a s e x u a l,9 11 13 14 17 18 21,"""- s - e x -""","""a - u a l""","Simple edit score, Progressive alignment with LCS"
64018,sex,1,a s e x u a l i t y,9 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""a - u a l i t y""","Simple edit score, Progressive alignment",64018,sex,1,a s e x u a l i t y,9 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""a - u a l i t y""","Simple edit score, Progressive alignment with LCS"
64019,sex,2,a s e x u a l l y,9 11 13 14 17 18 19 21 28,"""- s - e x -""","""a - u a l l y""","Simple edit score, Progressive alignment",64019,sex,2,a s e x u a l l y,9 11 13 14 17 18 19 21 28,"""- s - e x -""","""a - u a l l y""","Simple edit score, Progressive alignment with LCS"
64020,sex,3,b i s e x u a l i t y,7 8 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""b i - u a l i t y""","Simple edit score, Progressive alignment",64020,sex,3,b i s e x u a l i t y,7 8 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""b i - u a l i t y""","Simple edit score, Progressive alignment with LCS"
64021,sex,4,h e t e r o s e x u a l,2 3 4 5 6 7 11 13 14 17 18 21,"""- s - e x -""","""h e t e r o - u a l""","Simple edit score, Progressive alignment",64021,sex,4,h e t e r o s e x u a l,2 3 4 5 6 7 11 13 14 17 18 21,"""- s - e x -""","""h e t e r o - u a l""","Simple edit score, Progressive alignment with LCS"
64022,sex,5,h e t e r o s e x u a l i t y,2 3 4 5 6 7 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""h e t e r o - u a l i t y""","Simple edit score, Progressive alignment",64022,sex,5,h e t e r o s e x u a l i t y,2 3 4 5 6 7 11 13 14 17 18 21 24 27 28,"""- s - e x -""","""h e t e r o - u a l i t y""","Simple edit score, Progressive alignment with LCS"
64023,sex,6,h e t e r o s e x u a l l y,2 3 4 5 6 7 11 13 14 17 18 19 21 28,"""- s - e x -""","""h e t e r o - u a l l y""","Simple edit score, Progressive alignment",64023,sex,6,h e t e r o s e x u a l l y,2 3 4 5 6 7 11 13 14 17 18 19 21 28,"""- s - e x -""","""h e t e r o - u a l l y""","Simple edit score, Progressive alignment with LCS"
64024,sex,7,h e t e r o s e x u a l s,2 3 4 5 6 7 11 13 14 17 18 21 26,"""- s - e x -""","""h e t e r o - u a l s""","Simple edit score, Progressive alignment",64024,sex,7,h e t e r o s e x u a l s,2 3 4 5 6 7 11 13 14 17 18 21 26,"""- s - e x -""","""h e t e r o - u a l s""","Simple edit score, Progressive alignment with LCS"
64025,sex,8,s e x,11 13 14,"""- s - e x -""","""-""","Simple edit score, Progressive alignment",64025,sex,8,s e x,11 13 14,"""- s - e x -""","""-""","Simple edit score, Progressive alignment with LCS"
64026,sex,9,s e x - s t a r v e d,11 13 14 15 16 18 19 20 22 25,"""- s - e x -""","""- s t a r v e d""","Simple edit score, Progressive alignment",64026,sex,9,s e x - s t a r v e d,11 13 14 15 16 18 19 20 22 25,"""- s - e x -""","""- s t a r v e d""","Simple edit score, Progressive alignment with LCS"
64027,sex,10,s e x e d,11 13 14 22 25,"""- s - e x -""","""- e d""","Simple edit score, Progressive alignment",64027,sex,10,s e x e d,11 13 14 22 25,"""- s - e x -""","""- e d""","Simple edit score, Progressive alignment with LCS"
64028,sex,11,s e x e s,11 13 14 22 26,"""- s - e x -""","""- e s""","Simple edit score, Progressive alignment",64028,sex,11,s e x e s,11 13 14 22 26,"""- s - e x -""","""- e s""","Simple edit score, Progressive alignment with LCS"
64029,sex,12,s e x i e r,11 13 14 15 22 23,"""- s - e x -""","""- i e r""","Simple edit score, Progressive alignment",64029,sex,12,s e x i e r,11 13 14 15 22 23,"""- s - e x -""","""- i e r""","Simple edit score, Progressive alignment with LCS"
64030,sex,13,s e x i e s t,11 13 14 15 22 26 27,"""- s - e x -""","""- i e s t""","Simple edit score, Progressive alignment",64030,sex,13,s e x i e s t,11 13 14 15 22 26 27,"""- s - e x -""","""- i e s t""","Simple edit score, Progressive alignment with LCS"
64031,sex,14,s e x i l y,11 13 14 15 21 28,"""- s - e x -""","""- i l y""","Simple edit score, Progressive alignment",64031,sex,14,s e x i l y,11 13 14 15 21 28,"""- s - e x -""","""- i l y""","Simple edit score, Progressive alignment with LCS"
64032,sex,15,s e x i n e s s,11 13 14 15 16 22 23 26,"""- s - e x -""","""- i n e s s""","Simple edit score, Progressive alignment",64032,sex,15,s e x i n e s s,11 13 14 15 16 22 23 26,"""- s - e x -""","""- i n e s s""","Simple edit score, Progressive alignment with LCS"
