index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
428,Dutch elm disease,0,D u t c h _ e l m _ d i s e a s e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""D u t c h _ e l m _ d i s e a s e""","""-""","Simple edit score, Progressive alignment",428,Dutch elm disease,0,D u t c h _ e l m _ d i s e a s e,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""D u t c h _ e l m _ d i s e a s e""","""-""","Simple edit score, Progressive alignment with LCS"
82008,worm wheel,0,w o r m _ w h e e l,0 1 2 3 4 5 6 7 8 9,"""w o r m _ w h e e l -""","""-""","Simple edit score, Progressive alignment",82008,worm wheel,0,w o r m _ w h e e l,0 1 2 3 4 5 6 7 8 9,"""w o r m _ w h e e l -""","""-""","Simple edit score, Progressive alignment with LCS"
82009,worm wheel,1,w o r m _ w h e e l s,0 1 2 3 4 5 6 7 8 9 10,"""w o r m _ w h e e l -""","""- s""","Simple edit score, Progressive alignment",82009,worm wheel,1,w o r m _ w h e e l s,0 1 2 3 4 5 6 7 8 9 10,"""w o r m _ w h e e l -""","""- s""","Simple edit score, Progressive alignment with LCS"
37574,jaundiced,0,j a u n d i c e d,0 1 2 3 4 5 6 7 8,"""j a u n d i c e d""","""-""","Simple edit score, Progressive alignment",37574,jaundiced,0,j a u n d i c e d,0 1 2 3 4 5 6 7 8,"""j a u n d i c e d""","""-""","Simple edit score, Progressive alignment with LCS"
82055,worthy,0,a i r w o r t h i n e s s,6 9 10 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""a i r - i n e s s""","Simple edit score, Progressive alignment",82055,worthy,0,a i r w o r t h i n e s s,6 9 10 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""a i r - i n e s s""","Simple edit score, Progressive alignment with LCS"
82056,worthy,1,a i r w o r t h y,6 9 10 15 16 17 18 19 26,"""- w o r t h -""","""a i r - y""","Simple edit score, Progressive alignment",82056,worthy,1,a i r w o r t h y,6 9 10 15 16 17 18 19 26,"""- w o r t h -""","""a i r - y""","Simple edit score, Progressive alignment with LCS"
82057,worthy,2,b l a m e w o r t h i n e s s,0 1 6 7 14 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""b l a m e - i n e s s""","Simple edit score, Progressive alignment",82057,worthy,2,b l a m e w o r t h i n e s s,0 1 6 7 14 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""b l a m e - i n e s s""","Simple edit score, Progressive alignment with LCS"
82058,worthy,3,b l a m e w o r t h y,0 1 6 7 14 15 16 17 18 19 26,"""- w o r t h -""","""b l a m e - y""","Simple edit score, Progressive alignment",82058,worthy,3,b l a m e w o r t h y,0 1 6 7 14 15 16 17 18 19 26,"""- w o r t h -""","""b l a m e - y""","Simple edit score, Progressive alignment with LCS"
82059,worthy,4,c r e d i t - w o r t h i n e s s,0 3 5 8 9 13 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""c r e d i t - i n e s s""","Simple edit score, Progressive alignment",82059,worthy,4,c r e d i t - w o r t h i n e s s,0 3 5 8 9 13 15 16 17 18 19 20 21 22 23 24,"""- w o r t h -""","""c r e d i t - i n e s s""","Simple edit score, Progressive alignment with LCS"
82060,worthy,5,c r e d i t - w o r t h y,0 3 5 8 9 13 15 16 17 18 19 26,"""- w o r t h -""","""c r e d i t - y""","Simple edit score, Progressive alignment",82060,worthy,5,c r e d i t - w o r t h y,0 3 5 8 9 13 15 16 17 18 19 26,"""- w o r t h -""","""c r e d i t - y""","Simple edit score, Progressive alignment with LCS"
