index,lexeme,cell,phon_form,alignment,stem,exponents,method
0,'d,0,' d,0 1,' d,-,"User features, features similarity, Progressive alignment"
1,'em,0,' e m,0 1 2,' e m,-,"User features, features similarity, Progressive alignment"
2,'ll,0,' l l,0 1 2,' l l,-,"User features, features similarity, Progressive alignment"
3,'re,0,' r e,0 1 2,' r e,-,"User features, features similarity, Progressive alignment"
4,'s,0,' s,0 1,' s,-,"User features, features similarity, Progressive alignment"
5,'tween,0,' t w e e n,0 1 2 3 4 5,' t w e e n -,-,"User features, features similarity, Progressive alignment"
6,'tween,1,' t w e e n - d e c k s,0 1 2 3 4 5 6 7 8 9 10,' t w e e n -,- d e c k s,"User features, features similarity, Progressive alignment"
7,'twixt,0,' t w i x t,0 1 2 3 4 5,' t w i x t,-,"User features, features similarity, Progressive alignment"
8,'un,0,' u n,0 1 2,' u n,-,"User features, features similarity, Progressive alignment"
9,'ve,0,' v e,0 1 2,' v e,-,"User features, features similarity, Progressive alignment"
10,A-bomb,0,A - b o m b,0 1 2 3 4,A b o m b -,-,"User features, features similarity, Progressive alignment"
11,A-bomb,1,A - b o m b s,0 1 2 3 4 5,A b o m b -,- s,"User features, features similarity, Progressive alignment"
12,A-level,0,A - l e v e l,0 1 2 3 4 5,A l e v e l -,-,"User features, features similarity, Progressive alignment"
13,A-level,1,A - l e v e l s,0 1 2 3 4 5 6,A l e v e l -,- s,"User features, features similarity, Progressive alignment"
14,AA,0,A A,0 1,A A -,-,"User features, features similarity, Progressive alignment"
15,AA,1,A A s,0 1 2,A A -,- s,"User features, features similarity, Progressive alignment"
16,ABC,0,A B C,0 1 2,A B C -,-,"User features, features similarity, Progressive alignment"
17,ABC,1,A B C ' s,0 1 2 3 4,A B C -,- ' s,"User features, features similarity, Progressive alignment"
18,ABC,2,A B C s,0 1 2 4,A B C -,- s,"User features, features similarity, Progressive alignment"
19,Aborigine,0,A b o r i g i n e,0 1 2 3 4 5 6 7 8,A b o r i g i n e -,-,"User features, features similarity, Progressive alignment"
20,Aborigine,1,A b o r i g i n e s,0 1 2 3 4 5 6 7 8 9,A b o r i g i n e -,- s,"User features, features similarity, Progressive alignment"
21,Addressograph,0,A d d r e s s o g r a p h,0 1 2 3 4 5 6 7 8 9 10 11 12,A d d r e s s o g r a p h -,-,"User features, features similarity, Progressive alignment"
22,Addressograph,1,A d d r e s s o g r a p h s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,A d d r e s s o g r a p h -,- s,"User features, features similarity, Progressive alignment"
23,Afghan,0,A f g h a n,0 1 2 3 4 5,A f g h a n -,-,"User features, features similarity, Progressive alignment"
24,Afghan,1,A f g h a n s,0 1 2 3 4 5 6,A f g h a n -,- s,"User features, features similarity, Progressive alignment"
25,Afghani,0,A f g h a n i,0 1 2 3 4 5 6,A f g h a n i -,-,"User features, features similarity, Progressive alignment"
26,Afghani,1,A f g h a n i s,0 1 2 3 4 5 6 7,A f g h a n i -,- s,"User features, features similarity, Progressive alignment"
27,Afghanistani,0,A f g h a n i s t a n i,0 1 2 3 4 5 6 7 8 9 10 11,A f g h a n i s t a n i -,-,"User features, features similarity, Progressive alignment"
28,Afghanistani,1,A f g h a n i s t a n i s,0 1 2 3 4 5 6 7 8 9 10 11 12,A f g h a n i s t a n i -,- s,"User features, features similarity, Progressive alignment"
29,African,0,A f r i c a n,0 1 2 3 4 5 6,A f r i c a n -,-,"User features, features similarity, Progressive alignment"
30,African,1,A f r i c a n s,0 1 2 3 4 5 6 7,A f r i c a n -,- s,"User features, features similarity, Progressive alignment"
31,Afrikaner,0,A f r i k a n e r,0 1 2 3 4 5 6 7 8,A f r i k a n e r -,-,"User features, features similarity, Progressive alignment"
32,Afrikaner,1,A f r i k a n e r s,0 1 2 3 4 5 6 7 8 9,A f r i k a n e r -,- s,"User features, features similarity, Progressive alignment"
33,Afro,0,A f r o,0 1 2 3,A f r o -,-,"User features, features similarity, Progressive alignment"
34,Afro,1,A f r o - w i g,0 1 2 3 4 5 6,A f r o -,- w i g,"User features, features similarity, Progressive alignment"
35,Afro,2,A f r o - w i g s,0 1 2 3 4 5 6 7,A f r o -,- w i g s,"User features, features similarity, Progressive alignment"
36,Afro,3,A f r o s,0 1 2 3 7,A f r o -,- s,"User features, features similarity, Progressive alignment"
37,Airedale,0,A i r e d a l e,0 1 2 3 4 5 6 7,A i r e d a l e -,-,"User features, features similarity, Progressive alignment"
38,Airedale,1,A i r e d a l e s,0 1 2 3 4 5 6 7 8,A i r e d a l e -,- s,"User features, features similarity, Progressive alignment"
39,Albanian,0,A l b a n i a n,0 1 2 3 4 5 6 7,A l b a n i a n -,-,"User features, features similarity, Progressive alignment"
40,Albanian,1,A l b a n i a n s,0 1 2 3 4 5 6 7 8,A l b a n i a n -,- s,"User features, features similarity, Progressive alignment"
41,Algerian,0,A l g e r i a n,0 1 2 3 4 5 6 7,A l g e r i a n -,-,"User features, features similarity, Progressive alignment"
42,Algerian,1,A l g e r i a n s,0 1 2 3 4 5 6 7 8,A l g e r i a n -,- s,"User features, features similarity, Progressive alignment"
43,American,0,A f r o - A m e r i c a n,0 1 2 3 4 5 6 7 8 9 10 11,- m e r i - n -,A f r o A - c a -,"User features, features similarity, Progressive alignment"
44,American,1,A f r o - A m e r i c a n s,0 1 2 3 4 5 6 7 8 9 10 11 17,- m e r i - n -,A f r o A - c a - s,"User features, features similarity, Progressive alignment"
45,American,2,A m e r i c a n,4 5 6 7 8 9 10 11,- m e r i - n -,A - c a -,"User features, features similarity, Progressive alignment"
46,American,3,A m e r i c a n i s m,4 5 6 7 8 9 10 11 12 14 15,- m e r i - n -,A - c a - i s m,"User features, features similarity, Progressive alignment"
47,American,4,A m e r i c a n i s m s,4 5 6 7 8 9 10 11 12 14 15 17,- m e r i - n -,A - c a - i s m s,"User features, features similarity, Progressive alignment"
48,American,5,A m e r i c a n s,4 5 6 7 8 9 10 11 17,- m e r i - n -,A - c a - s,"User features, features similarity, Progressive alignment"
49,American,6,A m e r i n d i a n,4 5 6 7 8 11 13 14 15 16,- m e r i - n -,A - d i a n,"User features, features similarity, Progressive alignment"
50,American,7,A m e r i n d i a n s,4 5 6 7 8 11 13 14 15 16 17,- m e r i - n -,A - d i a n s,"User features, features similarity, Progressive alignment"
51,American,8,a m e r i c a n i z e,4 5 6 7 8 9 10 11 12 13 16,- m e r i - n -,a - c a - i z e,"User features, features similarity, Progressive alignment"
52,American,9,a m e r i c a n i z e d,4 5 6 7 8 9 10 11 12 13 16 17,- m e r i - n -,a - c a - i z e d,"User features, features similarity, Progressive alignment"
53,American,10,a m e r i c a n i z e s,4 5 6 7 8 9 10 11 12 13 16 17,- m e r i - n -,a - c a - i z e s,"User features, features similarity, Progressive alignment"
54,American,11,a m e r i c a n i z i n g,4 5 6 7 8 9 10 11 12 13 14 16 17,- m e r i - n -,a - c a - i z i n g,"User features, features similarity, Progressive alignment"
55,American,12,u n - A m e r i c a n,0 2 4 5 6 7 8 9 10 11,- m e r i - n -,u n A - c a -,"User features, features similarity, Progressive alignment"
56,Andorran,0,A n d o r r a n,0 1 2 3 4 5 6 7,A n d o r r a n -,-,"User features, features similarity, Progressive alignment"
57,Andorran,1,A n d o r r a n s,0 1 2 3 4 5 6 7 8,A n d o r r a n -,- s,"User features, features similarity, Progressive alignment"
58,Anglican,0,A n g l i c a n,0 1 2 3 4 5 6 7,A n g l i c a n -,-,"User features, features similarity, Progressive alignment"
59,Anglican,1,A n g l i c a n i s m,0 1 2 3 4 5 6 7 8 9 10,A n g l i c a n -,- i s m,"User features, features similarity, Progressive alignment"
60,Anglican,2,A n g l i c a n s,0 1 2 3 4 5 6 7 9,A n g l i c a n -,- s,"User features, features similarity, Progressive alignment"
61,Anglo-American,0,A n g l o - A m e r i c a n,0 1 2 3 4 5 6 7 8 9 10 11 12,A n g l o A m e r i c a n -,-,"User features, features similarity, Progressive alignment"
62,Anglo-American,1,A n g l o - A m e r i c a n s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,A n g l o A m e r i c a n -,- s,"User features, features similarity, Progressive alignment"
63,Anglo-Catholic,0,A n g l o - C a t h o l i c,0 1 2 3 4 5 6 7 8 9 10 11 12,A n g l o C a t h o l i c -,-,"User features, features similarity, Progressive alignment"
64,Anglo-Catholic,1,A n g l o - C a t h o l i c i s m,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,A n g l o C a t h o l i c -,- i s m,"User features, features similarity, Progressive alignment"
65,Anglo-Catholic,2,A n g l o - C a t h o l i c s,0 1 2 3 4 5 6 7 8 9 10 11 12 14,A n g l o C a t h o l i c -,- s,"User features, features similarity, Progressive alignment"
66,Anglo-Indian,0,A n g l o - I n d i a n,0 1 2 3 4 5 6 7 8 9 10,A n g l o I n d i a n -,-,"User features, features similarity, Progressive alignment"
67,Anglo-Indian,1,A n g l o - I n d i a n s,0 1 2 3 4 5 6 7 8 9 10 11,A n g l o I n d i a n -,- s,"User features, features similarity, Progressive alignment"
68,Anglo-Saxon,0,A n g l o - S a x o n,0 1 2 3 4 5 6 7 8 9,A n g l o S a x o n -,-,"User features, features similarity, Progressive alignment"
69,Anglo-Saxon,1,A n g l o - S a x o n s,0 1 2 3 4 5 6 7 8 9 10,A n g l o S a x o n -,- s,"User features, features similarity, Progressive alignment"
70,Angolan,0,A n g o l a n,0 1 2 3 4 5 6,A n g o l a n -,-,"User features, features similarity, Progressive alignment"
71,Angolan,1,A n g o l a n s,0 1 2 3 4 5 6 7,A n g o l a n -,- s,"User features, features similarity, Progressive alignment"
72,Anguillan,0,A n g u i l l a n,0 1 2 3 4 5 6 7 8,A n g u i l l a n -,-,"User features, features similarity, Progressive alignment"
73,Anguillan,1,A n g u i l l a n s,0 1 2 3 4 5 6 7 8 9,A n g u i l l a n -,- s,"User features, features similarity, Progressive alignment"
74,Antiguan,0,A n t i g u a n,0 1 2 3 4 5 6 7,A n t i g u a n -,-,"User features, features similarity, Progressive alignment"
75,Antiguan,1,A n t i g u a n s,0 1 2 3 4 5 6 7 8,A n t i g u a n -,- s,"User features, features similarity, Progressive alignment"
76,April,0,A p r i l,0 1 2 3 4,A p r i l -,-,"User features, features similarity, Progressive alignment"
77,April,1,A p r i l s,0 1 2 3 4 5,A p r i l -,- s,"User features, features similarity, Progressive alignment"
78,Aquarius,0,A q u a r i u s,0 1 2 3 4 5 6 9,A q u a r i u - s,-,"User features, features similarity, Progressive alignment"
79,Aquarius,1,A q u a r i u s e s,0 1 2 3 4 5 6 7 8 9,A q u a r i u - s,- s e -,"User features, features similarity, Progressive alignment"
80,Arab,0,A r a b,0 1 2 3,- r a b -,A -,"User features, features similarity, Progressive alignment"
81,Arab,1,A r a b s,0 1 2 3 5,- r a b -,A - s,"User features, features similarity, Progressive alignment"
82,Arab,2,a r a b e s q u e,0 1 2 3 4 5 6 7 8,- r a b -,a - e s q u e,"User features, features similarity, Progressive alignment"
83,Arab,3,a r a b e s q u e s,0 1 2 3 4 5 6 7 8 9,- r a b -,a - e s q u e s,"User features, features similarity, Progressive alignment"
84,Arabian,0,A r a b i a n,0 1 2 3 4 5 6,A r a b i a n -,-,"User features, features similarity, Progressive alignment"
85,Arabian,1,A r a b i a n s,0 1 2 3 4 5 6 7,A r a b i a n -,- s,"User features, features similarity, Progressive alignment"
86,Arabic,0,A r a b i c,0 1 2 3 4 7,A r a b i -,- c,"User features, features similarity, Progressive alignment"
87,Arabic,1,A r a b i s t,0 1 2 3 4 5 6,A r a b i -,- s t,"User features, features similarity, Progressive alignment"
88,Arabic,2,A r a b i s t s,0 1 2 3 4 5 6 7,A r a b i -,- s t s,"User features, features similarity, Progressive alignment"
89,Arcadian,0,A r c a d i a n,0 1 2 3 4 5 6 7,A r c a d i a n -,-,"User features, features similarity, Progressive alignment"
90,Arcadian,1,A r c a d i a n s,0 1 2 3 4 5 6 7 8,A r c a d i a n -,- s,"User features, features similarity, Progressive alignment"
91,Argentine,0,A r g e n t i n e,0 1 2 3 4 5 6 7 8,A r g e n t i n e -,-,"User features, features similarity, Progressive alignment"
92,Argentine,1,A r g e n t i n e s,0 1 2 3 4 5 6 7 8 9,A r g e n t i n e -,- s,"User features, features similarity, Progressive alignment"
93,Argentinian,0,A r g e n t i n i a n,0 1 2 3 4 5 6 7 8 9 10,A r g e n t i n i a n -,-,"User features, features similarity, Progressive alignment"
94,Argentinian,1,A r g e n t i n i a n s,0 1 2 3 4 5 6 7 8 9 10 11,A r g e n t i n i a n -,- s,"User features, features similarity, Progressive alignment"
95,Aries,0,A r i e s,0 1 2 3 4,A r i e s,-,"User features, features similarity, Progressive alignment"
96,Aryan,0,A r y a n,0 1 2 3 4,A r y a n -,-,"User features, features similarity, Progressive alignment"
97,Aryan,1,A r y a n s,0 1 2 3 4 5,A r y a n -,- s,"User features, features similarity, Progressive alignment"
98,Asian,0,A f r o - A s i a n,0 1 2 3 4 5 6 7 8,A - s i a n -,- f r o A -,"User features, features similarity, Progressive alignment"
99,Asian,1,A s i a n,0 5 6 7 8,A - s i a n -,-,"User features, features similarity, Progressive alignment"
100,Asian,2,A s i a n s,0 5 6 7 8 9,A - s i a n -,- s,"User features, features similarity, Progressive alignment"
101,Asiatic,0,A s i a t i c,0 1 2 3 4 5 6,A s i a t i c -,-,"User features, features similarity, Progressive alignment"
102,Asiatic,1,A s i a t i c s,0 1 2 3 4 5 6 7,A s i a t i c -,- s,"User features, features similarity, Progressive alignment"
103,Attic,0,A t t i c,0 1 2 3 4,A t t i c,-,"User features, features similarity, Progressive alignment"
104,August,0,A u g u s t,0 1 2 3 4 5,A u g u s t -,-,"User features, features similarity, Progressive alignment"
105,August,1,A u g u s t s,0 1 2 3 4 5 6,A u g u s t -,- s,"User features, features similarity, Progressive alignment"
106,Australasian,0,A u s t r a l a s i a n,0 1 2 3 4 5 6 7 8 9 10 11,A u s t r a l a s i a n -,-,"User features, features similarity, Progressive alignment"
107,Australasian,1,A u s t r a l a s i a n s,0 1 2 3 4 5 6 7 8 9 10 11 12,A u s t r a l a s i a n -,- s,"User features, features similarity, Progressive alignment"
108,Australian,0,A u s s i e,0 1 2 6 7 8,A u s - i -,- s - e,"User features, features similarity, Progressive alignment"
109,Australian,1,A u s s i e s,0 1 2 6 7 8 10,A u s - i -,- s - e s,"User features, features similarity, Progressive alignment"
110,Australian,2,A u s t r a l i a n,0 1 2 3 4 5 6 7 8 9,A u s - i -,- t r a l - a n,"User features, features similarity, Progressive alignment"
111,Australian,3,A u s t r a l i a n s,0 1 2 3 4 5 6 7 8 9 10,A u s - i -,- t r a l - a n s,"User features, features similarity, Progressive alignment"
112,Austrian,0,A u s t r i a n,0 1 2 3 4 5 6 7,A u s t r i a n -,-,"User features, features similarity, Progressive alignment"
113,Austrian,1,A u s t r i a n s,0 1 2 3 4 5 6 7 8,A u s t r i a n -,- s,"User features, features similarity, Progressive alignment"
114,Bactrian,0,B a c t r i a n,0 1 2 3 4 5 6 7,B a c t r i a n -,-,"User features, features similarity, Progressive alignment"
115,Bactrian,1,B a c t r i a n s,0 1 2 3 4 5 6 7 8,B a c t r i a n -,- s,"User features, features similarity, Progressive alignment"
116,Bahamian,0,B a h a m i a n,0 1 2 3 4 5 6 7,B a h a m i a n -,-,"User features, features similarity, Progressive alignment"
117,Bahamian,1,B a h a m i a n s,0 1 2 3 4 5 6 7 8,B a h a m i a n -,- s,"User features, features similarity, Progressive alignment"
118,Bahraini,0,B a h r a i n i,0 1 2 3 4 5 6 7,B a h r a i n i -,-,"User features, features similarity, Progressive alignment"
119,Bahraini,1,B a h r a i n i s,0 1 2 3 4 5 6 7 8,B a h r a i n i -,- s,"User features, features similarity, Progressive alignment"
120,Band-Aid,0,B a n d - A i d,0 1 2 3 4 5 6,B a n d A i d -,-,"User features, features similarity, Progressive alignment"
121,Band-Aid,1,B a n d - A i d s,0 1 2 3 4 5 6 7,B a n d A i d -,- s,"User features, features similarity, Progressive alignment"
122,Bangladeshi,0,B a n g l a d e s h i,0 1 2 3 4 5 6 7 8 9 10,B a n g l a d e s h i -,-,"User features, features similarity, Progressive alignment"
123,Bangladeshi,1,B a n g l a d e s h i s,0 1 2 3 4 5 6 7 8 9 10 11,B a n g l a d e s h i -,- s,"User features, features similarity, Progressive alignment"
124,Bantu,0,B a n t u,0 1 2 3 4,B a n t u -,-,"User features, features similarity, Progressive alignment"
125,Bantu,1,B a n t u s,0 1 2 3 4 5,B a n t u -,- s,"User features, features similarity, Progressive alignment"
126,Baptist,0,B a p t i s t,0 1 2 3 4 5 6,B a p t i s t -,-,"User features, features similarity, Progressive alignment"
127,Baptist,1,B a p t i s t s,0 1 2 3 4 5 6 7,B a p t i s t -,- s,"User features, features similarity, Progressive alignment"
128,Barbadian,0,B a r b a d i a n,0 1 2 3 4 5 6 7 8,B a r b a d i a n -,-,"User features, features similarity, Progressive alignment"
129,Barbadian,1,B a r b a d i a n s,0 1 2 3 4 5 6 7 8 9,B a r b a d i a n -,- s,"User features, features similarity, Progressive alignment"
130,Behemoth,0,B e h e m o t h,0 1 2 3 4 5 6 7,B e h e m o t h -,-,"User features, features similarity, Progressive alignment"
131,Behemoth,1,B e h e m o t h s,0 1 2 3 4 5 6 7 8,B e h e m o t h -,- s,"User features, features similarity, Progressive alignment"
132,Belgian,0,B e l g i a n,0 1 2 3 4 5 6,B e l g i a n -,-,"User features, features similarity, Progressive alignment"
133,Belgian,1,B e l g i a n s,0 1 2 3 4 5 6 7,B e l g i a n -,- s,"User features, features similarity, Progressive alignment"
134,Benedictine,0,B e n e d i c t i n e,0 1 2 3 4 5 6 7 8 9 10,B e n e d i c t i n e -,-,"User features, features similarity, Progressive alignment"
135,Benedictine,1,B e n e d i c t i n e s,0 1 2 3 4 5 6 7 8 9 10 11,B e n e d i c t i n e -,- s,"User features, features similarity, Progressive alignment"
136,Bengalese,0,B e n g a l e s e,0 1 2 3 4 5 6 7 8,B e n g a l e s e,-,"User features, features similarity, Progressive alignment"
137,Bengali,0,B e n g a l i,0 1 2 3 4 5 6,B e n g a l i -,-,"User features, features similarity, Progressive alignment"
138,Bengali,1,B e n g a l i s,0 1 2 3 4 5 6 7,B e n g a l i -,- s,"User features, features similarity, Progressive alignment"
139,Beninese,0,B e n i n e s e,0 1 2 3 4 5 6 7,B e n i n e s e,-,"User features, features similarity, Progressive alignment"
140,Bermudan,0,B e r m u d a n,0 1 2 3 4 5 6 7,B e r m u d a n -,-,"User features, features similarity, Progressive alignment"
141,Bermudan,1,B e r m u d a n s,0 1 2 3 4 5 6 7 8,B e r m u d a n -,- s,"User features, features similarity, Progressive alignment"
142,Bhutani,0,B h u t a n i,0 1 2 3 4 5 6,B h u t a n i -,-,"User features, features similarity, Progressive alignment"
143,Bhutani,1,B h u t a n i s,0 1 2 3 4 5 6 7,B h u t a n i -,- s,"User features, features similarity, Progressive alignment"
144,Billingsgate,0,b i l l i n g s g a t e,0 1 2 3 4 5 6 7 8 9 10 11,b i l l i n g s g a t e,-,"User features, features similarity, Progressive alignment"
145,Blimp,0,B l i m p,0 1 2 3 4,B l i m p -,-,"User features, features similarity, Progressive alignment"
146,Blimp,1,B l i m p i s h,0 1 2 3 4 5 6 7,B l i m p -,- i s h,"User features, features similarity, Progressive alignment"
147,Blimp,2,B l i m p s,0 1 2 3 4 6,B l i m p -,- s,"User features, features similarity, Progressive alignment"
148,Boche,0,B o c h e,0 1 2 3 4,B o c h e -,-,"User features, features similarity, Progressive alignment"
149,Boche,1,B o c h e s,0 1 2 3 4 5,B o c h e -,- s,"User features, features similarity, Progressive alignment"
150,Boer,0,B o e r,0 1 2 3,B o e r -,-,"User features, features similarity, Progressive alignment"
151,Boer,1,B o e r s,0 1 2 3 4,B o e r -,- s,"User features, features similarity, Progressive alignment"
152,Bolivian,0,B o l i v i a n,0 1 2 3 4 5 6 7,B o l i v i a n -,-,"User features, features similarity, Progressive alignment"
153,Bolivian,1,B o l i v i a n s,0 1 2 3 4 5 6 7 8,B o l i v i a n -,- s,"User features, features similarity, Progressive alignment"
154,Bolshevik,0,B o l s h e v i k,0 1 2 3 4 5 6 7 8,B o l s h e v i -,- k,"User features, features similarity, Progressive alignment"
155,Bolshevik,1,B o l s h e v i k s,0 1 2 3 4 5 6 7 8 9,B o l s h e v i -,- k s,"User features, features similarity, Progressive alignment"
156,Bolshevik,2,B o l s h e v i s m,0 1 2 3 4 5 6 7 9 10,B o l s h e v i -,- s m,"User features, features similarity, Progressive alignment"
157,Bordeaux,0,B o r d e a u x,0 1 2 3 4 5 6 7,B o r d e a u x,-,"User features, features similarity, Progressive alignment"
158,Brahmin,0,B r a h m i n,0 1 2 3 4 5 6,B r a h m i n -,-,"User features, features similarity, Progressive alignment"
159,Brahmin,1,B r a h m i n s,0 1 2 3 4 5 6 7,B r a h m i n -,- s,"User features, features similarity, Progressive alignment"
160,Brazilian,0,B r a z i l i a n,0 1 2 3 4 5 6 7 8,B r a z i l i a n -,-,"User features, features similarity, Progressive alignment"
161,Brazilian,1,B r a z i l i a n s,0 1 2 3 4 5 6 7 8 9,B r a z i l i a n -,- s,"User features, features similarity, Progressive alignment"
162,Bren,0,B r e n,0 1 2 3,B r e n -,-,"User features, features similarity, Progressive alignment"
163,Bren,1,B r e n s,0 1 2 3 4,B r e n -,- s,"User features, features similarity, Progressive alignment"
164,Bren-gun,0,B r e n,0 1 2 3,B r e n -,-,"User features, features similarity, Progressive alignment"
165,Bren-gun,1,B r e n s,0 1 2 3 4,B r e n -,- s,"User features, features similarity, Progressive alignment"
166,Brie,0,B r i e,0 1 2 3,B r i e,-,"User features, features similarity, Progressive alignment"
167,Briton,0,B r i t o n,0 1 2 3 4 5,B r i t o n -,-,"User features, features similarity, Progressive alignment"
168,Briton,1,B r i t o n s,0 1 2 3 4 5 6,B r i t o n -,- s,"User features, features similarity, Progressive alignment"
169,Bruneian,0,B r u n e i a n,0 1 2 3 4 5 6 7,B r u n e i a n -,-,"User features, features similarity, Progressive alignment"
170,Bruneian,1,B r u n e i a n s,0 1 2 3 4 5 6 7 8,B r u n e i a n -,- s,"User features, features similarity, Progressive alignment"
171,Bulgarian,0,B u l g a r i a n,0 1 2 3 4 5 6 7 8,B u l g a r i a n -,-,"User features, features similarity, Progressive alignment"
172,Bulgarian,1,B u l g a r i a n s,0 1 2 3 4 5 6 7 8 9,B u l g a r i a n -,- s,"User features, features similarity, Progressive alignment"
173,Bull,0,B u l l,0 1 2 3,B u l l -,-,"User features, features similarity, Progressive alignment"
174,Bull,1,B u l l s,0 1 2 3 4,B u l l -,- s,"User features, features similarity, Progressive alignment"
175,Burberry,0,B u r b e r r i e s,0 1 2 3 4 5 6 7 8 9,B u r b e r r -,- i e s,"User features, features similarity, Progressive alignment"
176,Burberry,1,B u r b e r r y,0 1 2 3 4 5 6 10,B u r b e r r -,- y,"User features, features similarity, Progressive alignment"
177,Burgundy,0,B u r g u n d y,0 1 2 3 4 5 6 7,B u r g u n d y,-,"User features, features similarity, Progressive alignment"
178,Burmese,0,B u r m e s e,0 1 2 3 4 5 6,B u r m e s e,-,"User features, features similarity, Progressive alignment"
179,Burundian,0,B u r u n d i a n,0 1 2 3 4 5 6 7 8,B u r u n d i a n -,-,"User features, features similarity, Progressive alignment"
180,Burundian,1,B u r u n d i a n s,0 1 2 3 4 5 6 7 8 9,B u r u n d i a n -,- s,"User features, features similarity, Progressive alignment"
181,Caerphilly,0,C a e r p h i l l y,0 1 2 3 4 5 6 7 8 9,C a e r p h i l l y,-,"User features, features similarity, Progressive alignment"
182,Caesarean,0,C a e s a r e a n,0 1 2 3 4 5 6 7 8,C a e s a r e a n -,-,"User features, features similarity, Progressive alignment"
183,Caesarean,1,C a e s a r e a n s,0 1 2 3 4 5 6 7 8 9,C a e s a r e a n -,- s,"User features, features similarity, Progressive alignment"
184,Caesarean section,0,C a e s a r e a n,0 1 2 3 4 5 6 7 8,C a e s a r e a n -,-,"User features, features similarity, Progressive alignment"
185,Caesarean section,1,C a e s a r e a n s,0 1 2 3 4 5 6 7 8 9,C a e s a r e a n -,- s,"User features, features similarity, Progressive alignment"
186,Calvary,0,c a l v a r i e s,0 1 2 3 4 5 6 7 8,c a l v a r -,- i e s,"User features, features similarity, Progressive alignment"
187,Calvary,1,c a l v a r y,0 1 2 3 4 5 8,c a l v a r -,- y,"User features, features similarity, Progressive alignment"
188,Calvinist,0,C a l v i n i s t,0 1 2 3 4 5 6 7 8,C a l v i n i s t -,-,"User features, features similarity, Progressive alignment"
189,Calvinist,1,C a l v i n i s t s,0 1 2 3 4 5 6 7 8 9,C a l v i n i s t -,- s,"User features, features similarity, Progressive alignment"
190,Cambodian,0,C a m b o d i a n,0 1 2 3 4 5 6 7 8,C a m b o d i a n -,-,"User features, features similarity, Progressive alignment"
191,Cambodian,1,C a m b o d i a n s,0 1 2 3 4 5 6 7 8 9,C a m b o d i a n -,- s,"User features, features similarity, Progressive alignment"
192,Camembert,0,C a m e m b e r t,0 1 2 3 4 5 6 7 8,C a m e m b e r t -,-,"User features, features similarity, Progressive alignment"
193,Camembert,1,C a m e m b e r t s,0 1 2 3 4 5 6 7 8 9,C a m e m b e r t -,- s,"User features, features similarity, Progressive alignment"
194,Cameroonian,0,C a m e r o o n i a n,0 1 2 3 4 5 6 7 8 9 10,C a m e r o o n i a n -,-,"User features, features similarity, Progressive alignment"
195,Cameroonian,1,C a m e r o o n i a n s,0 1 2 3 4 5 6 7 8 9 10 11,C a m e r o o n i a n -,- s,"User features, features similarity, Progressive alignment"
196,Canadian,0,C a n a d i a n,0 1 2 3 4 5 6 7,C a n a d i a n -,-,"User features, features similarity, Progressive alignment"
197,Canadian,1,C a n a d i a n s,0 1 2 3 4 5 6 7 8,C a n a d i a n -,- s,"User features, features similarity, Progressive alignment"
198,Cancer,0,C a n c e r,0 1 2 3 4 5,C a n c e r -,-,"User features, features similarity, Progressive alignment"
199,Cancer,1,C a n c e r s,0 1 2 3 4 5 6,C a n c e r -,- s,"User features, features similarity, Progressive alignment"
200,Canuck,0,C a n u c k,0 1 2 3 4 5,C a n u c k -,-,"User features, features similarity, Progressive alignment"
201,Canuck,1,C a n u c k s,0 1 2 3 4 5 6,C a n u c k -,- s,"User features, features similarity, Progressive alignment"
202,Capricorn,0,C a p r i c o r n,0 1 2 3 4 5 6 7 8,C a p r i c o r n -,-,"User features, features similarity, Progressive alignment"
203,Capricorn,1,C a p r i c o r n s,0 1 2 3 4 5 6 7 8 9,C a p r i c o r n -,- s,"User features, features similarity, Progressive alignment"
204,Carboniferous,0,C a r b o n i f e r o u s,0 1 2 3 4 5 6 7 8 9 10 11 12,C a r b o n i f e r o u s,-,"User features, features similarity, Progressive alignment"
205,Carmelite,0,C a r m e l i t e,0 1 2 3 4 5 6 7 8,C a r m e l i t e -,-,"User features, features similarity, Progressive alignment"
206,Carmelite,1,C a r m e l i t e s,0 1 2 3 4 5 6 7 8 9,C a r m e l i t e -,- s,"User features, features similarity, Progressive alignment"
207,Catalan,0,C a t a l a n,0 1 2 3 4 5 6,C a t a l a n,-,"User features, features similarity, Progressive alignment"
208,Catholic,0,A n g l o - C a t h o l i c i s m,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,- C a t h o l i c -,A n g l o - i s m,"User features, features similarity, Progressive alignment"
209,Catholic,1,C a t h o l i c,5 6 7 8 9 10 11 12,- C a t h o l i c -,-,"User features, features similarity, Progressive alignment"
210,Catholic,2,C a t h o l i c i s m,5 6 7 8 9 10 11 12 13 14 15,- C a t h o l i c -,- i s m,"User features, features similarity, Progressive alignment"
211,Catholic,3,C a t h o l i c i t y,5 6 7 8 9 10 11 12 13 14 15,- C a t h o l i c -,- i t y,"User features, features similarity, Progressive alignment"
